t,left,house,right
908,18.392475,11.635621,16.131645
918,3.8759604,7.4249454,12.594197
928,5.5228295,9.01024,10.025227
938,4.681489,6.634423,8.962757
948,13.840237,9.798039,18.499836
958,15.93469,11.945642,16.242058
968,9.361212,9.497386,9.324568
978,7.862095,7.397277,11.013127
988,3.1786187,5.4310455,9.637037
998,2.5711384,5.0567536,5.4335804
1008,25.840414,5.3654685,13.874198
1018,30.832685,7.5962963,29.34432
1028,11.348317,7.8283224,25.657078
1038,7.975757,9.657844,10.05181
1048,18.865892,8.50719,10.870494
1058,34.00265,6.654466,27.589794
1068,28.685596,9.3025055,25.93786
1078,8.990594,9.375708,14.27893
1088,8.46092,7.9814816,11.574856
1098,2.9060762,4.159477,9.349588
1108,19.229002,8.643028,17.92893
1118,23.000618,6.463181,34.97399
1128,13.364303,8.079085,29.973375
1138,10.570211,8.510458,19.088106
1148,2.687406,4.856318,10.763333
1158,3.3536606,7.685403,9.047078
1168,12.143601,11.188453,22.619629
1178,13.270512,10.017429,20.87893
1188,8.746048,8.420261,6.088642
1198,6.900468,7.8635077,8.215185
1208,26.867128,7.143246,17.059711
1218,29.80394,7.144989,25.877655
1228,10.076879,8.921678,19.196667
1238,7.2128854,6.822658,5.7428393
1248,4.890665,5.130392,8.336667
1258,23.394197,7.7752724,21.355679
1268,24.421663,10.200436,20.168024
1278,11.080279,8.310784,12.612099
1288,13.767552,8.623638,11.151605
1298,14.92502,8.613726,27.676542
1308,11.870308,9.543028,22.716255
1318,9.128676,10.000217,10.214691
1328,6.307604,6.781699,6.0549793
1338,4.153184,6.5043573,9.391687
1348,27.03219,5.4007626,19.928848
1358,28.223969,8.12037,17.256378
1368,11.524066,8.002178,11.705844
1378,10.281992,7.856754,11.230865
1388,8.023404,6.0767975,11.40284
1398,15.823898,5.9428105,40.92671
1408,14.545748,8.156754,31.832346
1418,7.8947277,5.717647,10.53572
1428,4.4394593,5.2172112,11.349053
1438,20.719156,8.929629,21.376749
1448,22.080896,10.915468,32.388683
1458,10.610792,10.497603,17.81712
1468,10.831008,11.756863,8.27893
1477,16.909874,7.8264704,16.617573
1487,21.790869,6.2325706,28.56823
1497,14.837631,10.28878,23.411194
1507,14.378477,9.086057,18.395103
1517,11.792061,8.380392,19.023169
1527,16.032368,7.0994554,18.796625
1537,13.814228,3.6974945,11.252058
1547,1.9926256,3.619717,6.0954323
1557,27.255365,9.827669,23.659218
1567,31.555727,10.585838,23.479836
1577,14.155568,10.666667,12.483992
1587,11.58178,9.4848585,14.933498
1597,11.787512,6.577342,19.196543
1607,15.162634,6.0389977,16.315598
1617,13.868896,5.638235,12.962058
1627,4.552636,4.5617647,9.933498
1637,2.930363,5.8665576,7.237119
1647,4.345359,8.946297,7.431646
1657,14.752936,8.435621,23.999012
1667,22.008787,9.635185,33.15321
1677,20.448292,9.816885,19.632551
1687,14.698358,7.775926,22.500864
1697,12.097986,6.951852,14.52893
1707,10.428155,6.2496734,12.534033
1717,9.671112,4.7927017,10.141399
1727,3.010642,4.563181,6.6065845
1737,8.305838,7.7440085,11.124568
1747,14.070079,6.8995643,31.480742
1757,17.767862,7.5527234,32.64531
1767,17.719906,13.21634,19.343704
1777,19.007154,7.037582,13.7285185
1787,14.97536,5.6056643,10.867078
1797,2.9564161,6.059695,11.003292
1807,3.1258943,6.6234207,6.9544034
1817,14.42661,6.8359475,15.762304
1827,23.858738,8.954357,25.547943
1837,33.01378,10.566449,19.750576
1847,32.579308,11.175708,18.972345
1857,20.94604,9.130501,15.700741
1867,8.324516,6.742593,7.733292
1877,5.6838293,5.7211328,5.5113993
1887,3.8657598,4.0687366,2.885144
