shot,t1_preshot,t2_slide,t3_backline,t4_release,t5_near_hog,t6_far_hog,t7_stop,x_in,y_in,result_method,inferred
1,,19.7,,21.0,23.2,37.1,45.4,46.1,-111.4,state-diff,t6:kin
2,45.4,82.3,,83.6,86.7,103.7,110.1,55.9,-9.5,track,
3,110.1,127.9,,129.2,131.6,146.5,155.6,14.4,-104.8,state-diff,t6:kin
4,155.6,181.8,,183.0,189.2,201.9,207.4,20.0,-164.1,state-diff,t6:kin
5,207.4,239.6,,,249.3,256.1,263.2,16.9,59.3,track,t5:kin
6,263.2,281.4,,282.6,286.9,303.0,308.6,1.9,-19.3,track,
7,308.6,331.2,,332.4,333.5,346.9,348.5,60.3,42.2,track,
8,348.5,361.6,,364.6,371.2,378.0,391.5,28.2,-95.5,track,
9,391.5,422.4,,423.6,428.2,436.9,442.0,85.1,-114.7,track,t5:kin
10,442.0,461.6,,464.7,470.8,483.1,486.3,-46.4,83.4,track,
11,486.3,507.9,,509.4,511.6,528.1,538.4,0.2,-156.4,track,
12,538.4,551.9,,553.2,557.9,575.3,580.8,12.7,-32.0,track,
13,580.8,627.4,,630.2,633.7,646.0,648.4,37.7,-126.0,track,
14,648.4,726.9,,728.1,735.4,746.5,753.0,20.1,-114.6,state-diff,t6:kin
15,753.0,812.0,,813.5,816.1,833.7,844.9,90.7,73.8,track,
16,844.9,891.8,,,897.0,912.2,928.0,55.0,51.3,track,t5:kin
